position,title
Q1819381,President
Q3409229,Prime Minister
Q61882567,Deputy Prime Minister
Q28808262,Minister of Agriculture
Q45843918,Minister of Culture
Q45406265,Minister of Defence
Q30312984,"Minister of Education, Youth and Sports"
Q33702144,Minister of the Environment
Q12052800,Minister for European Union Affairs
Q2207925,Minister of Finance
Q2501396,Minister of Foreign Affairs
Q45750372,Minister of Health
Q47519610,Minister for Human Rights
Q25507811,Minister of Industry and Trade
Q20058795,Minister of the Interior
Q26197353,Minister of Justice
Q27479703,Minister of Labour and Social Affairs
Q25515749,Minister for Regional Development
Q45754140,Minister of Transport
Q59773497,Minister without portfolio
Q3210181,President of the Senate
Q5068060,Chair of the Chamber of Deputies
Q15712674,Head of the Office of the Czech Government
Q26197430,Prosecutor General
Q11892806,Public Defender of Rights
Q25505764,Governor of the Czech National Bank
Q17149373,Mayor of Prague
