position,title
Q18941264,Member of the Senate
Q19803234,Member of the Chamber of Deputies
Q65740963,Central Bohemian Region Assembly Member
Q104559039,Central Bohemian Region Assembly member
Q59539134,Hradec Králové Region Assembly member
Q63532689,Karlovy Vary Region Assembly member
Q108920712,Liberec Region Assembly member
Q55973189,Moravian-Silesian Region Assembly member
Q104244422,Olomouc Region Assembly member
Q108899502,Pardubice Region Assembly member
Q108920807,Plzeň Region Assembly Member
Q55670007,South Bohemian Region Assembly member
Q59583668,South Moravian Region Assembly member
Q60586583,Vysočina Region Assembly Member
Q108900705,Vysočina Region Assembly member
Q9613465,Zlín Region Assembly member
Q83275550,Ústí nad Labem Region Assembly member
